	sdg	author	faculty	year	abstract
19	2	van der Heijden, Marcel G A	MNF	2018	Cropping practices manipulate abundance patterns of root and soil microbiome members paving the way to smart farming. Background Harnessing beneficial microbes presents a promising strategy to optimize plant growth and agricultural sustainability. Little is known to which extent and how specifically soil and plant microbiomes can be manipulated through different cropping practices. Here, we investigated soil and wheat root microbial communities in a cropping system experiment consisting of conventional and organic managements, both with different tillage intensities. Results While microbial richness was marginally affected, we found pronounced cropping effects on community composition, which were specific for the respective microbiomes. Soil bacterial communities were primarily structured by tillage, whereas soil fungal communities responded mainly to management type with additional effects by tillage. In roots, management type was also the driving factor for bacteria but not for fungi, which were generally determined by changes in tillage intensity. To quantify an “effect size” for microbiota manipulation, we found that about 10% of variation in microbial communities was explained by the tested cropping practices. Cropping sensitive microbes were taxonomically diverse, and they responded in guilds of taxa to the specific practices. These microbes also included frequent community members or members co-occurring with many other microbes in the community, suggesting that cropping practices may allow manipulation of influential community members. Conclusions Understanding the abundance patterns of cropping sensitive microbes presents the basis towards developing microbiota management strategies for smart farming. For future targeted microbiota management—e.g., to foster certain microbes with specific agricultural practices—a next step will be to identify the functional traits of the cropping sensitive microbes.
20	2	van der Heijden, Marcel G A	MNF	2018	Impact of organic and conventional farming systems on wheat grain uptake and soil bioavailability of zinc and cadmium. Zinc (Zn) deficiency is a widespread problem in human nutrition and wheat grains are a major source of Zn intake in large parts of the human population. It remains unclear to what extent organic and conventional farming practices, differing in organic matter management, influence Zn availability and uptake by wheat grains. Factors leading to an increased Zn uptake may also increase the Cd uptake in wheat grains, which are a major source of harmful Cd for humans. In this study, we investigated the effects of different farming practices on Zn and Cd concentrations in wheat grains and their relationships with total and available soil Zn and Cd concentrations, and other soil properties. In northern Switzerland, 28 farms were sampled including 11 organic farms with compost use, 10 organic farms without compost use, and 7 conventional farms without compost use. Soil organic matter was a key factor for soil Zn and especially Cd concentrations across all three farming systems. Total and available soil Cd concentrations as well as soil organic carbon concentration (SOC) were significantly higher on the organic farms with compost use than on the conventional farms. However, only the compost farms with livestock showed significantly higher grain Cd concentrations in comparison to conventional farming, whereas the organic farms without compost use were in between. In contrast to Cd, the soil and grain Zn concentrations showed no significant farming system effect although there was a correlation between total soil Zn and SOC when all farms of the survey were pooled. Grain Zn was decoupled from soil Zn indicating that under agricultural field conditions the farming systems are a minor factor in increasing grain Zn. Our study suggests that the Zn and Cd soil and grain concentrations on farms were mediated by a combination of on-farm organic matter management, soil properties, and livestock production intensity.
21	2	van der Heijden, Marcel G A	MNF	2018	Root exudate metabolites drive plant-soil feedbacks on growth and defense by shaping the rhizosphere microbiota. By changing soil properties, plants can modify their growth environment. Although the soil microbiota is known to play a key role in the resulting plant-soil feedbacks, the proximal mechanisms underlying this phenomenon remain unknown. We found that benzoxazinoids, a class of defensive secondary metabolites that are released by roots of cereals such as wheat and maize, alter root-associated fungal and bacterial communities, decrease plant growth, increase jasmonate signaling and plant defenses, and suppress herbivore performance in the next plant generation. Complementation experiments demonstrate that the benzoxazinoid breakdown product 6-methoxy-benzoxazolin-2-one (MBOA), which accumulates in the soil during the conditioning phase, is both sufficient and necessary to trigger the observed phenotypic changes. Sterilization, fungal and bacterial profiling and complementation experiments reveal that MBOA acts indirectly by altering root-associated microbiota. Our results reveal a mechanism by which plants determine the composition of rhizosphere microbiota, plant performance and plant-herbivore interactions of the next generation.
24	2	Stephan, R	VSF	2018	Enterotoxin production of Bacillus thuringiensis isolates from biopesticides, foods, and outbreaks. While the relevance of Bacillus (B.) cereus as a major cause of gastroenteritis is undisputed, the role of the closely related B. thuringiensis in foodborne disease is unclear. B. thuringiensis strains frequently harbor enterotoxin genes. However, the organism has only very rarely been associated with foodborne outbreaks, possibly due to the fact that during outbreak investigations, B. cereus is routinely not differentiated from B. thuringiensis. A recent EFSA scientific opinion stresses the urgent need for further data allowing for improved risk assessment, in particular as B. thuringiensis is a commonly used biopesticide. Therefore, the aim of this study was to gain further insights into the hazardous potential of B. thuringiensis. To this end, 39 B. thuringiensis isolates obtained from commercially used biopesticides, various food sources, as well as from foodborne outbreaks were characterized by panC typing, panC-based SplitsTree analysis, toxin gene profiling, FTIR spectroscopic analysis, a cytotoxicity assay screening for enterotoxic activity, and a sphingomyelinase assay. The majority of the tested B. thuringiensis isolates exhibited low (23%, n = 9) or mid level enterotoxicity (74%, n = 29), and produced either no (59%, n = 23) or low levels (33%, n = 13) of sphingomyelinase, which is reported to act synergistically with enterotoxins Nhe and Hbl. One strain isolated from rosemary was however classified as highly enterotoxic surpassing the cytotoxic activity of the high-level reference strain by a factor of 1.5. This strain also produced vast amounts of sphingomyelinase. Combining all results obtained in this study into a fingerprint pattern, several enterotoxic biopesticide strains were indistinguishable from those of isolates from foods or collected in association with outbreaks. Our study shows that many B. thuringiensis biopesticide strains exhibit mid-level cytotoxicity in a Vero cell assay and that some of these strains cannot be differentiated from isolates collected from foods or in association with outbreaks. Thus, we demonstrate that the use of B. thuringiensis strains as biopesticides can represent a food safety risk, underpinning the importance of assessing the hazardous potential of each strain and formulation used.
25	2	Chesney, Marc	WWF	2018	Long-Term Investment Choices for Quinoa Farmers in Puno, Peru: A Real Options Case Study. The goal of this article is to assess the optimal choices of a smallholder quinoa farmer in the Puno region of Peru, in terms of his decision if and when to undertake certain investments that are expected to increase quinoa yield and crop resistance to harsh weather conditions, such as frost. We focus on two irreversible options, namely quinoa variety management andWaruWaru. The former alternative considers the option of the farmer to switch from his business-as-usual quinoa variety to one that has different yield and frost resistance characteristics. The latter alternative refers to the implementation of an ancestral cultivation practice that is estimated to offer benefits in terms of yield increase and resistance to harsh climate conditions. We rely on Real Options Analysis to assess the two types of investment opportunities for the farmer. This approach allows us to determine not only whether the investments should be undertaken or not, but also the optimal timing to do so. We find that one quinoa variety (Kancolla) offers the highest benefits to the farmer and switching to this option should be immediate if investment costs are low; however, as costs increase, the decision to switch quinoa variety is optimally postponed until quinoa price uncertainty is reduced. We find that the Waru Waru option is not worth undertaking unless further evidence related to the increase in the productivity of quinoa is developed. However, at increases in productivity above 20%, the Waru Waru option becomes highly attractive. The article also discusses how quinoa price dynamics, yield sensitivity to frost, and governmental support impact decisions of the smallholder farmer.
26	2	Chesney, Marc	WWF	2018	Long-term Investment Choices for Quinoa Farmers in Puno, Peru: A Real Options Case Study. The goal of this article is to assess the optimal choices of a smallholder quinoa farmer in the Puno region of Peru, in terms of his decision if and when to undertake certain investments that are expected to increase quinoa yield and crop resistance to harsh weather conditions, such as frost. We focus on two irreversible options, namely quinoa variety management andWaruWaru. The former alternative considers the option of the farmer to switch from his business-as-usual quinoa variety to one that has different yield and frost resistance characteristics. The latter alternative refers to the implementation of an ancestral cultivation practice that is estimated to offer benefits in terms of yield increase and resistance to harsh climate conditions. We rely on Real Options Analysis to assess the two types of investment opportunities for the farmer. This approach allows us to determine not only whether the investments should be undertaken or not, but also the optimal timing to do so. We find that one quinoa variety (Kancolla) offers the highest benefits to the farmer and switching to this option should be immediate if investment costs are low; however, as costs increase, the decision to switch quinoa variety is optimally postponed until quinoa price uncertainty is reduced. We find that the Waru Waru option is not worth undertaking unless further evidence related to the increase in the productivity of quinoa is developed. However, at increases in productivity above 20%, the Waru Waru option becomes highly attractive. The article also discusses how quinoa price dynamics, yield sensitivity to frost, and governmental support impact decisions of the smallholder farmer.
27	2	Yanagizawa-Drott, David	WWF	2017	Lemon technologies and adoption: measurement, theory and evidence from agricultural markets in Uganda. To reduce poverty and food insecurity in Africa requires raising productivity in agriculture. Systematic use of fertilizer and hybrid seed is a pathway to increased productivity, but adoption of these technologies remains low. We investigate whether the quality of agricultural inputs can help explain low take-up. Testing modern products purchased in local markets, we find that 30% of nutrient is missing in fertilizer, and hybrid maize seed is estimated to contain less than 50% authentic seeds. We document that such low quality results in low average returns. If authentic technologies replaced these low-quality products, however, average returns are high. To rationalize the findings, we calibrate a learning model using data from our agricultural trials. Because agricultural yields are noisy, farmers’ ability to learn about quality is limited and this can help explain the low quality equilibrium we observe, but also why the market has not fully collapsed.
28	3	Müller, Anne	MNF	2019	Transmaternal Helicobacter pylori exposure reduces allergic airway inflammation in offspring through regulatory T cells. BACKGROUND Transmaternal exposure to tobacco, microbes, nutrients, and other environmental factors shapes the fetal immune system through epigenetic processes. The gastric microbe Helicobacter pylori represents an ancestral constituent of the human microbiota that causes gastric disorders on the one hand and is inversely associated with allergies and chronic inflammatory conditions on the other. OBJECTIVE Here we investigate the consequences of transmaternal exposure to H pylori in utero and/or during lactation for susceptibility to viral and bacterial infection, predisposition to allergic airway inflammation, and development of immune cell populations in the lungs and lymphoid organs. METHODS We use experimental models of house dust mite- or ovalbumin-induced airway inflammation and influenza A virus or Citrobacter rodentium infection along with metagenomics analyses, multicolor flow cytometry, and bisulfite pyrosequencing, to study the effects of H pylori on allergy severity and immunologic and microbiome correlates thereof. RESULTS Perinatal exposure to H pylori extract or its immunomodulator vacuolating cytotoxin confers robust protective effects against allergic airway inflammation not only in first- but also second-generation offspring but does not increase susceptibility to viral or bacterial infection. Immune correlates of allergy protection include skewing of regulatory over effector T cells, expansion of regulatory T-cell subsets expressing CXCR3 or retinoic acid-related orphan receptor γt, and demethylation of the forkhead box P3 (FOXP3) locus. The composition and diversity of the gastrointestinal microbiota is measurably affected by perinatal H pylori exposure. CONCLUSION We conclude that exposure to H pylori has consequences not only for the carrier but also for subsequent generations that can be exploited for interventional purposes.
30	3	Müller, Anne	MNF	2016	Microbes and asthma: Opportunities for intervention. The worldwide incidence and prevalence of asthma continues to increase. Asthma is now understood as an umbrella term for different phenotypes or endotypes, which arise through different pathophysiologic pathways. Understanding the many factors contributing to development of the disease is important for the identification of novel therapeutic targets for the treatment of certain asthma phenotypes. The hygiene hypothesis has been formulated to explain the increasing prevalence of allergic disease, including asthma. This hypothesis postulates that decreased exposure at a young age to certain infectious agents as a result of improved hygiene, increased antibiotic use and vaccination, and changes in lifestyle and dietary habits is associated with changes in the immune system, which predispose subjects to allergy. Many microbes, during their coevolution with human subjects, developed mechanisms to manipulate the human immune system and to increase their chances of survival. Improving models of asthma, as well as choosing adequate end points in clinical trials, will lead to a more complete understanding of the underlying mechanisms, thus providing an opportunity to devise primary and secondary interventions at the same time as identifying new molecular targets for treatment. This article reports the discussion and conclusion of a workshop under the auspices of the Netherlands Lung Foundation to extend our understanding of how modulation of the immune system by bacterial, parasitic, and viral infections might affect the development of asthma and to map out future lines of investigation.
31	3	Münz, Christian	MNF	2019	Transmaternal Helicobacter pylori exposure reduces allergic airway inflammation in offspring through regulatory T cells. BACKGROUND Transmaternal exposure to tobacco, microbes, nutrients, and other environmental factors shapes the fetal immune system through epigenetic processes. The gastric microbe Helicobacter pylori represents an ancestral constituent of the human microbiota that causes gastric disorders on the one hand and is inversely associated with allergies and chronic inflammatory conditions on the other. OBJECTIVE Here we investigate the consequences of transmaternal exposure to H pylori in utero and/or during lactation for susceptibility to viral and bacterial infection, predisposition to allergic airway inflammation, and development of immune cell populations in the lungs and lymphoid organs. METHODS We use experimental models of house dust mite- or ovalbumin-induced airway inflammation and influenza A virus or Citrobacter rodentium infection along with metagenomics analyses, multicolor flow cytometry, and bisulfite pyrosequencing, to study the effects of H pylori on allergy severity and immunologic and microbiome correlates thereof. RESULTS Perinatal exposure to H pylori extract or its immunomodulator vacuolating cytotoxin confers robust protective effects against allergic airway inflammation not only in first- but also second-generation offspring but does not increase susceptibility to viral or bacterial infection. Immune correlates of allergy protection include skewing of regulatory over effector T cells, expansion of regulatory T-cell subsets expressing CXCR3 or retinoic acid-related orphan receptor γt, and demethylation of the forkhead box P3 (FOXP3) locus. The composition and diversity of the gastrointestinal microbiota is measurably affected by perinatal H pylori exposure. CONCLUSION We conclude that exposure to H pylori has consequences not only for the carrier but also for subsequent generations that can be exploited for interventional purposes.
32	3	Münz, Christian	MNF	2018	MxB is an interferon-induced restriction factor of human herpesviruses. The type I interferon (IFN) system plays an important role in controlling herpesvirus infections, but it is unclear which IFN-mediated effectors interfere with herpesvirus replication. Here we report that human myxovirus resistance protein B (MxB, also designated Mx2) is a potent human herpesvirus restriction factor in the context of IFN. We demonstrate that ectopic MxB expression restricts a range of herpesviruses from the Alphaherpesvirinae and Gammaherpesvirinae, including herpes simplex virus 1 and 2 (HSV-1 and HSV-2), and Kaposi's sarcoma-associated herpesvirus (KSHV). MxB restriction of HSV-1 and HSV-2 requires GTPase function, in contrast to restriction of lentiviruses. MxB inhibits the delivery of incoming HSV-1 DNA to the nucleus and the appearance of empty capsids, but not the capsid delivery to the cytoplasm or tegument dissociation from the capsid. Our study identifies MxB as a potent pan-herpesvirus restriction factor which blocks the uncoating of viral DNA from the incoming viral capsid.
34	3	Pernthaler, Jakob	MNF	2018	Assessing the Influence of Vegan, Vegetarian and Omnivore Oriented Westernized Dietary Styles on Human Gut Microbiota: A Cross Sectional Study. Diet and lifestyle have a strong influence on gut microbiota, which in turn has important implications on a variety of health-related aspects. Despite great advances in the field, it remains unclear to which extent the composition of the gut microbiota is modulated by the intake of animal derived products, compared to a vegetable based diet. Here the specific impact of vegan, vegetarian, and omnivore feeding type on the composition of gut microbiota of 101 adults was investigated among groups homogeneous for variables known to have a role in modulating gut microbial composition such as age, anthropometric variables, ethnicity, and geographic area. The results displayed a picture where the three different dietetic profiles could be well distinguished on the basis of participant’s dietetic regimen. Regarding the gut microbiota; vegetarians had a significantly greater richness compared to omnivorous. Moreover, counts of Bacteroidetes related operational taxonomic units (OTUs) were greater in vegans and vegetarians compared to omnivores. Interestingly considering the whole bacterial community composition the three cohorts were unexpectedly similar, which is probably due to their common intake in terms of nutrients rather than food, e.g., high fat content and reduced protein and carbohydrate intake. This finding suggests that fundamental nutritional choices such as vegan, vegetarian, or omnivore do influence the microbiota but do not allow to infer conclusions on gut microbial composition, and suggested the possibility for a preferential impact of other variables, probably related to the general life style on shaping human gut microbial community in spite of dietary influence. Consequently, research were individuals are categorized on the basis of their claimed feeding types is of limited use for scientific studies, since it appears to be oversimplified.
35	3	Stertz, S	MNF	2015	Swine IFITM proteins potently inhibit influenza A virus replication. Human IFITMs were identified as restriction factors of influenza A virus (IAV). Given the important role of pigs in the zoonotic cycle of IAV we cloned swine IFITMs (swIFITM) and found two IFITM1-like proteins, one homologue of IFITM2 and one of IFITM3. We show that swIFITM2 and swIFITM3 localize to endosomes and display potent antiviral activity. Knockdown of swIFITMs strongly reduced virus inhibition by interferon establishing the swIFITMs as potent restriction factors in porcine cells.
36	3	Stertz, Silke	MNF	2018	Phosphoproteomic-based kinase profiling early in influenza virus infection identifies GRK2 as antiviral drug target. Although annual influenza epidemics affect around 10% of the global population, current treatment options are limited and development of new antivirals is needed. Here, using quantitative phosphoproteomics, we reveal the unique phosphoproteome dynamics that occur in the host cell within minutes of influenza A virus (IAV) infection. We uncover cellular kinases required for the observed signaling pattern and find that inhibition of selected candidates, such as the G protein-coupled receptor kinase 2 (GRK2), leads to decreased IAV replication. As GRK2 has emerged as drug target in heart disease, we focus on its role in IAV infection and show that it is required for viral uncoating. Replication of seasonal and pandemic IAVs is severely decreased by specific GRK2 inhibitors in primary human airway cultures and in mice. Our study reveals the IAV-induced changes to the cellular phosphoproteome and identifies GRK2 as crucial node of the kinase network that enables IAV replication.
37	3	Weibel, Robert	MNF	2019	Self-reported versus GPS-derived indicators of daily mobility in a sample of healthy older adults. In light of novel opportunities to use sensor data to observe individuals' day-to-day mobility in the context of healthy aging research, it is important to understand how meaningful mobility indicators can be extracted from such data and to which degree these sensor-derived indicators are comparable to corresponding self-reports. We used sensor (GPS and accelerometer) and self-reported data from 27 healthy older adults (≥67 years) who participated in the MOASIS project over a 30-day period. Based on sensor data we computed three commonly used daily mobility indicators: life space (LS), travel duration using passive (i.e., motorized) modes of transportation (pMOT) and travel duration using active (i.e., non-motorized) modes of transportation (aMOT). We assessed the degree to which these sensor-derived indicators compare to corresponding self-reports at a within-person level, computing intraindividual correlations (iCorrs), subsequently assessing whether iCorrs can be associated with participants’ socio-demographic characteristics on a between-person level. Moderate to large positive mean iCorrs between the respective self-reported and sensor-derived indicators were found (r = 0.75 for LS, 0.51 for pMOT and 0.36 for aMOT). In comparison to sensor-derived indicators, self-reported LS slightly underestimates, while self-reported aMOT as well as pMOT considerably overestimate the amount of daily mobility. Participants with access to a car have higher probabilities of agreement in the pMOT indicator. Sensor-based assessments are promising as they are “objective”, involve less participant burden and observations can be extended over long periods. The findings of this paper help researchers on mobility and aging to estimate the magnitude and direction of potential differences in the assessed variable due to the assessment methods.
