SDG	Author(s)	Faculty	Year	Citation	Citation 2	Abstract
SDG 1.00	"Pomeranz, Dina"	WWF	2016	Saving more in groups: field experimental evidence from Chile. HBS Working Paper Series 12-060.	Saving more in groups: field experimental evidence from Chile. HBS Working Paper Series 12-060.	"We test the impact of a peer group savings program on precautionary savings, through two randomized field experiments among 2,687 microcredit clients. The first experiment finds that the Peer Group Treatment, which combines public goal setting, monitoring in the group, and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold, and the average savings balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure."
SDG 2.00	"Jaeggi, Adrian V"	MNF	2019	"The evolution of daily food sharing: A Bayesian phylogenetic analysis. Evolution and Human Behavior, 40(4):375-384."	"The evolution of daily food sharing: A Bayesian phylogenetic analysis. Evolution and Human Behavior, 40(4):375-384."	"Some human subsistence economies are characterized by extensive daily food sharing networks, which may buffer the risk of shortfalls and facilitate cooperative production and divisions of labor among households. Comparative studies of human food sharing can assess the generalizability of this theory across time, space, and diverse lifeways. Here we test several predictions about daily sharing norms–which presumably reflect realized cooperative behavior–in a globally representative sample of nonindustrial societies (the Standard Cross-Cultural Sample), while controlling for multiple sources of autocorrelation among societies using Bayesian multilevel models. Consistent with a risk-buffering function, we find that sharing is less likely in societies with alternative means of smoothing production and consumption such as animal husbandry, food storage, and external trade. Further, food sharing was tightly linked to labor sharing, indicating gains to cooperative production and perhaps divisions of labor. We found a small phylogenetic signal for food sharing (captured by a supertree of human populations based on genetic and linguistic data) that was mediated by food storage and social stratification. Food sharing norms reliably emerge as part of cooperative economies across time and space but are culled by innovations that facilitate self-reliant production."
SDG 2.00	"Keller, Beat"	MNF	2019	"Influence of temperature, humidity duration and growth stage on the infection and mycotoxin production by Fusarium langsethiae and Fusarium poae in oats. Plant Pathology Journal, 68(1):173-184."	"Influence of temperature, humidity duration and growth stage on the infection and mycotoxin production by Fusarium langsethiae and Fusarium poae in oats. Plant Pathology Journal, 68(1):173-184."	"High occurrence of Fusarium poae (FP) and Fusarium langsethiae (FL) and their mycotoxins nivalenol (NIV) and T‐2/HT‐2 have been observed in Swiss oats. Early prediction of mycotoxin levels is important for farmers and the cereal industry to minimize the risk of contaminated food and feed. Therefore, climate chamber experiments were conducted to investigate the influence of different temperatures (10, 15, 20 °C) and durations (4, 8, 12 h) at 99% relative humidity (RH) on the infection of oats with FP and FL. In addition, to discover the most susceptible period of oats, artificial FL inoculations were conducted at different growth stages. Field experiments were performed to observe the dispersal of these fungal species within the field and to investigate the weather conditions that influence the dispersal. The climate chamber experiments revealed higher contamination with NIV and T‐2/HT‐2 in the 10 °C treatments and with a prolonged humidity duration of 12 h 99% RH. Inoculations of oat plants at early (DC 61) and mid (DC 65) anthesis, led to higher FL infection and T‐2/HT‐2 accumulation in the grains compared with treatments at earlier growth stages, which might be due to an increased susceptibility during anthesis. No indication for spore dispersal was observed in the field experiments. The results obtained, together with the cropping factors that influence infection and mycotoxin production, could be used as a first step in developing forecasting models to predict the contamination of oats with the mycotoxins NIV and T‐2/HT‐2."
SDG 2.00	"Keller, Beat"	MNF	2019	"A chromosome-scale genome assembly reveals a highly dynamic effector repertoire of wheat powdery mildew. New Phytologist, 221(4):2176-2189."	"A chromosome-scale genome assembly reveals a highly dynamic effector repertoire of wheat powdery mildew. New Phytologist, 221(4):2176-2189."	"Blumeria graminis f. sp. tritici (B.g. tritici) is the causal agent of the wheat powdery mildew disease. The highly fragmented B.g. tritici genome available so far has prevented a systematic analysis of effector genes that are known to be involved in host adaptation. To study the diversity and evolution of effector genes we produced a chromosome‐scale assembly of the B.g. tritici genome. The genome assembly and annotation was achieved by combining long‐read sequencing with high‐density genetic mapping, bacterial artificial chromosome fingerprinting and transcriptomics. We found that the 166.6 Mb B.g. tritici genome encodes 844 candidate effector genes, over 40% more than previously reported. Candidate effector genes have characteristic local genomic organization such as gene clustering and enrichment for recombination‐active regions and certain transposable element families. A large group of 412 candidate effector genes shows high plasticity in terms of copy number variation in a global set of 36 isolates and of transcription levels. Our data suggest that copy number variation and transcriptional flexibility are the main drivers for adaptation in B.g. tritici. The high repeat content may play a role in providing a genomic environment that allows rapid evolution of effector genes with selection as the driving force."
SDG 2.00	"Keller, Beat"	MNF	2019	"Field grown transgenic Pm3e wheat lines show powdery mildew resistance and no fitness costs associated with high transgene expression. Transgenic research, 28(1):9-20."	"Field grown transgenic Pm3e wheat lines show powdery mildew resistance and no fitness costs associated with high transgene expression. Transgenic research, 28(1):9-20."	"Pm3 from wheat encodes a nucleotide-binding leucine-rich repeat type of receptor and confers resistance to powdery mildew caused by the fungal pathogen Blumeria graminis f.sp. tritici (Bgt). Each of the 17 functional Pm3 alleles identified so far confers resistance to a distinct spectrum of Bgt isolates. Variant Pm3e has been found in wheat donor line W150 and differs only by two amino acids from the non-functional variant Pm3CS. In order to evaluate the capability of Pm3e to provide powdery mildew field resistance, we generated transgenic Pm3e lines by biolistic transformation of the powdery mildew susceptible spring wheat cultivar Bobwhite. Field trials conducted during four field seasons in Switzerland showed significant and strong powdery mildew resistance of the Pm3e transgenic lines, whereas the corresponding biological sister lines, not containing the transgene, were severely powdery mildew infected. Thus Pm3e alone is responsible for the strong resistance phenotype. The field grown transgenic lines showed high transgene expression and Pm3e protein accumulation with no fitness costs on plant development and yield associated with Pm3e abundance. Line E#1 as well as sister line E#1 showed delayed flowering due to somaclonal variation. The study shows the capability of Pm3e in providing strong powdery mildew field resistance, making its use in wheat breeding programs very promising."
SDG 2.00	"Keller, Beat"	MNF	2019	"Fungal resistance mediated by maize wall-associated kinase ZmWAK-RLK1 correlates with reduced benzoxazinoid content. New Phytologist, 221(2):976-987."	"Fungal resistance mediated by maize wall-associated kinase ZmWAK-RLK1 correlates with reduced benzoxazinoid content. New Phytologist, 221(2):976-987."	
SDG 2.00	"Keller, Beat"	MNF	2019	"Genebank genomics highlights the diversity of a global barley collection. Nature Genetics, 51(2):319-326."	"Genebank genomics highlights the diversity of a global barley collection. Nature Genetics, 51(2):319-326."	"Genebanks hold comprehensive collections of cultivars, landraces and crop wild relatives of all major food crops, but their detailed characterization has so far been limited to sparse core sets. The analysis of genome-wide genotyping-by-sequencing data for almost all barley accessions of the German ex situ genebank provides insights into the global population structure of domesticated barley and points out redundancies and coverage gaps in one of the world’s major genebanks. Our large sample size and dense marker data afford great power for genome-wide association scans. We detect known and novel loci underlying morphological traits differentiating barley genepools, find evidence for convergent selection for barbless awns in barley and rice and show that a major-effect resistance locus conferring resistance to bymovirus infection has been favored by traditional farmers. This study outlines future directions for genomics-assisted genebank management and the utilization of germplasm collections for linking natural variation to human selection during crop evolution."
SDG 2.00	"van der Heijden, Marcel"	MNF	2018	"Improvement of soil structure through organic crop management, conservation tillage and grass-clover ley. Soil and Tillage Research, 180:1-9."	"Improvement of soil structure through organic crop management, conservation tillage and grass-clover ley. Soil and Tillage Research, 180:1-9."	"Conventional tillage is a widespread soil management practice that controls weeds and promotes nutrient mineralization at the expense of a degraded soil structure and soil carbon (C) loss. Although C dynamics and soil structure are widely recognized as pivotal to essential environmental and crop-related agroecosystem processes such as belowground C storage and crop root establishment, there is still a need to evaluate cropping practices most favorable for soil structure. For example, the effects on soil structure by continuous intensive tillage after a ley period remains unclear. To address these issues, we measured mean weight diameter, total C and total nitrogen (N) in whole soil and water-stable aggregate fractions after a 4-year arable crop rotation on a Cambisol where organic and conventional management was combined with intensive tillage and different types of conservation tillage. Measurements were repeated following a 2-year grass-clover ley period. Results showed that 4 years of organic management (including the application of cattle manure slurry) combined with reduced tillage significantly improved soil structure through increasing the proportion of large macroaggregates and hence the aggregate mean weight diameter (MWD) in the 0-6 cm soil layer. Although an increase in MWD after ley was observed in organic intensive tillage and a marginal increase in conventional intensive tillage, a significant increase in total C was observed only for the organic cropping systems, which also showed a high C stratification between 0-6 cm and 6-20 cm depth. Thus, a ley period enhances soil structure after continuous cropping under intensive tillage and when organic management is combined with reduced tillage. In conclusion, soil structure is best maintained when combining organic management with reduced tillage due to additive effects."
SDG 2.00	"van der Heijden, Marcel G A"	MNF	2018	"A global meta-analysis of yield stability in organic and conservation agriculture. Nature Communications, 9:3632."	"A global meta-analysis of yield stability in organic and conservation agriculture. Nature Communications, 9:3632."	"One of the primary challenges of our time is to enhance global food production and security. Most assessments in agricultural systems focus on plant yield. Yet, these analyses neglect temporal yield stability, or the variability and reliability of production across years. Here we perform a meta-analysis to assess temporal yield stability of three major cropping systems: organic agriculture and conservation agriculture (no-tillage) vs. conventional agriculture, comparing 193 studies based on 2896 comparisons. Organic agriculture has, per unit yield, a significantly lower temporal stability (−15%) compared to conventional agriculture. Thus, although organic farming promotes biodiversity and is generally more environmentally friendly, future efforts should focus on reducing its yield variability. Our analysis further indicates that the use of green manure and enhanced fertilisation can reduce the yield stability gap between organic and conventional agriculture. The temporal stability (−3%) of no-tillage does not differ significantly from those of conventional tillage indicating that a transition to no-tillage does not affect yield stability."
SDG 2.00	"van der Heijden, Marcel G A"	MNF	2018	"Cropping practices manipulate abundance patterns of root and soil microbiome members paving the way to smart farming. Microbiome, 6(1):14."	"Cropping practices manipulate abundance patterns of root and soil microbiome members paving the way to smart farming. Microbiome, 6(1):14."	"Background Harnessing beneficial microbes presents a promising strategy to optimize plant growth and agricultural sustainability. Little is known to which extent and how specifically soil and plant microbiomes can be manipulated through different cropping practices. Here, we investigated soil and wheat root microbial communities in a cropping system experiment consisting of conventional and organic managements, both with different tillage intensities.
Results While microbial richness was marginally affected, we found pronounced cropping effects on community composition, which were specific for the respective microbiomes. Soil bacterial communities were primarily structured by tillage, whereas soil fungal communities responded mainly to management type with additional effects by tillage. In roots, management type was also the driving factor for bacteria but not for fungi, which were generally determined by changes in tillage intensity. To quantify an “effect size” for microbiota manipulation, we found that about 10% of variation in microbial communities was explained by the tested cropping practices. Cropping sensitive microbes were taxonomically diverse, and they responded in guilds of taxa to the specific practices. These microbes also included frequent community members or members co-occurring with many other microbes in the community, suggesting that cropping practices may allow manipulation of influential community members.
Conclusions Understanding the abundance patterns of cropping sensitive microbes presents the basis towards developing microbiota management strategies for smart farming. For future targeted microbiota management—e.g., to foster certain microbes with specific agricultural practices—a next step will be to identify the functional traits of the cropping sensitive microbes."
SDG 2.00	"van der Heijden, Marcel G A"	MNF	2018	"Impact of organic and conventional farming systems on wheat grain uptake and soil bioavailability of zinc and cadmium. Science of the Total Environment, 639:608-616."	"Impact of organic and conventional farming systems on wheat grain uptake and soil bioavailability of zinc and cadmium. Science of the Total Environment, 639:608-616."	"Zinc (Zn) deficiency is a widespread problem in human nutrition and wheat grains are a major source of Zn intake in large parts of the human population. It remains unclear to what extent organic and conventional farming practices, differing in organic matter management, influence Zn availability and uptake by wheat grains. Factors leading to an increased Zn uptake may also increase the Cd uptake in wheat grains, which are a major source of harmful Cd for humans. In this study, we investigated the effects of different farming practices on Zn and Cd concentrations in wheat grains and their relationships with total and available soil Zn and Cd concentrations, and other soil properties. In northern Switzerland, 28 farms were sampled including 11 organic farms with compost use, 10 organic farms without compost use, and 7 conventional farms without compost use. Soil organic matter was a key factor for soil Zn and especially Cd concentrations across all three farming systems. Total and available soil Cd concentrations as well as soil organic carbon concentration (SOC) were significantly higher on the organic farms with compost use than on the conventional farms. However, only the compost farms with livestock showed significantly higher grain Cd concentrations in comparison to conventional farming, whereas the organic farms without compost use were in between. In contrast to Cd, the soil and grain Zn concentrations showed no significant farming system effect although there was a correlation between total soil Zn and SOC when all farms of the survey were pooled. Grain Zn was decoupled from soil Zn indicating that under agricultural field conditions the farming systems are a minor factor in increasing grain Zn. Our study suggests that the Zn and Cd soil and grain concentrations on farms were mediated by a combination of on-farm organic matter management, soil properties, and livestock production intensity."
SDG 2.00	"van der Heijden, Marcel G A"	MNF	2018	"Root exudate metabolites drive plant-soil feedbacks on growth and defense by shaping the rhizosphere microbiota. Nature Communications, 9:2738."	"Root exudate metabolites drive plant-soil feedbacks on growth and defense by shaping the rhizosphere microbiota. Nature Communications, 9:2738."	"By changing soil properties, plants can modify their growth environment. Although the soil microbiota is known to play a key role in the resulting plant-soil feedbacks, the proximal mechanisms underlying this phenomenon remain unknown. We found that benzoxazinoids, a class of defensive secondary metabolites that are released by roots of cereals such as wheat and maize, alter root-associated fungal and bacterial communities, decrease plant growth, increase jasmonate signaling and plant defenses, and suppress herbivore performance in the next plant generation. Complementation experiments demonstrate that the benzoxazinoid breakdown product 6-methoxy-benzoxazolin-2-one (MBOA), which accumulates in the soil during the conditioning phase, is both sufficient and necessary to trigger the observed phenotypic changes. Sterilization, fungal and bacterial profiling and complementation experiments reveal that MBOA acts indirectly by altering root-associated microbiota. Our results reveal a mechanism by which plants determine the composition of rhizosphere microbiota, plant performance and plant-herbivore interactions of the next generation."
SDG 2.00	"Liesegang, Annette"	VSF	2016	"Protein - Vergleich von verschiedenen ""herkömmlichen"" Proteinquellen mit Insektenprotein. In: Kreuzer, M; Lanzini, T; Liesegang, Annette; Bruckmaier, R; Hess, H D; Ulbrich, S E. Umdenken in der Eiweissversorgung der Nutztiere; Tagungsbericht, 11. Mai 2016. Zürich: Eidgenössische Technische Hochschule Zürich (ETH), 95-97."	"Protein - Vergleich von verschiedenen ""herkömmlichen"" Proteinquellen mit Insektenprotein. In: Kreuzer, M; Lanzini, T; Liesegang, Annette; Bruckmaier, R; Hess, H D; Ulbrich, S E. Umdenken in der Eiweissversorgung der Nutztiere; Tagungsbericht, 11. Mai 2016. Zürich: Eidgenössische Technische Hochschule Zürich (ETH), 95-97."	
SDG 2.00	"Liesegang, Annette"	VSF	2016	"Rohnährstoffe in ganzem Fisch und Verluste mit der Zeit - Erste Resultate. In: Kreuzer, M; Lanzini, T; Liesegang, Annette; Bruckmaier, R; Hess, H D; Ulbrich, S E. Umdenken in der Eiweissversorgung der Nutztiere; Tagungsbericht, 11. Mai 2016. Zürich: Eidgenössische Technische Hochschule Zürich (ETH), 203-206."	"Rohnährstoffe in ganzem Fisch und Verluste mit der Zeit - Erste Resultate. In: Kreuzer, M; Lanzini, T; Liesegang, Annette; Bruckmaier, R; Hess, H D; Ulbrich, S E. Umdenken in der Eiweissversorgung der Nutztiere; Tagungsbericht, 11. Mai 2016. Zürich: Eidgenössische Technische Hochschule Zürich (ETH), 203-206."	
SDG 2.00	"Stephan, R"	VSF	2018	"Enterotoxin production of Bacillus thuringiensis isolates from biopesticides, foods, and outbreaks. Frontiers in Microbiology, 9:1915."	"Enterotoxin production of Bacillus thuringiensis isolates from biopesticides, foods, and outbreaks. Frontiers in Microbiology, 9:1915."	"While the relevance of Bacillus (B.) cereus as a major cause of gastroenteritis is undisputed, the role of the closely related B. thuringiensis in foodborne disease is unclear. B. thuringiensis strains frequently harbor enterotoxin genes. However, the organism has only very rarely been associated with foodborne outbreaks, possibly due to the fact that during outbreak investigations, B. cereus is routinely not differentiated from B. thuringiensis. A recent EFSA scientific opinion stresses the urgent need for further data allowing for improved risk assessment, in particular as B. thuringiensis is a commonly used biopesticide. Therefore, the aim of this study was to gain further insights into the hazardous potential of B. thuringiensis. To this end, 39 B. thuringiensis isolates obtained from commercially used biopesticides, various food sources, as well as from foodborne outbreaks were characterized by panC typing, panC-based SplitsTree analysis, toxin gene profiling, FTIR spectroscopic analysis, a cytotoxicity assay screening for enterotoxic activity, and a sphingomyelinase assay. The majority of the tested B. thuringiensis isolates exhibited low (23%, n = 9) or mid level enterotoxicity (74%, n = 29), and produced either no (59%, n = 23) or low levels (33%, n = 13) of sphingomyelinase, which is reported to act synergistically with enterotoxins Nhe and Hbl. One strain isolated from rosemary was however classified as highly enterotoxic surpassing the cytotoxic activity of the high-level reference strain by a factor of 1.5. This strain also produced vast amounts of sphingomyelinase. Combining all results obtained in this study into a fingerprint pattern, several enterotoxic biopesticide strains were indistinguishable from those of isolates from foods or collected in association with outbreaks. Our study shows that many B. thuringiensis biopesticide strains exhibit mid-level cytotoxicity in a Vero cell assay and that some of these strains cannot be differentiated from isolates collected from foods or in association with outbreaks. Thus, we demonstrate that the use of B. thuringiensis strains as biopesticides can represent a food safety risk, underpinning the importance of assessing the hazardous potential of each strain and formulation used."
SDG 2.00	"Chesney, Marc"	WWF	2018	"Long-Term Investment Choices for Quinoa Farmers in Puno, Peru: A Real Options Case Study. International Journal of Food and Agricultural Economics, 6(4):1-19."	"Long-Term Investment Choices for Quinoa Farmers in Puno, Peru: A Real Options Case Study. International Journal of Food and Agricultural Economics, 6(4):1-19."	"The goal of this article is to assess the optimal choices of a smallholder quinoa farmer in the Puno region of Peru, in terms of his decision if and when to undertake certain investments that are expected to increase quinoa yield and crop resistance to harsh weather conditions, such as frost. We focus on two irreversible options, namely quinoa variety management andWaruWaru. The former alternative considers the option of the farmer to switch from his business-as-usual quinoa variety to one that has different yield and frost resistance characteristics. The latter alternative refers to the implementation of an ancestral cultivation practice that is estimated to offer benefits in terms of yield increase and resistance to harsh climate conditions.
We rely on Real Options Analysis to assess the two types of investment opportunities for the farmer. This approach allows us to determine not only whether the investments should be undertaken or not, but also the optimal timing to do so. We find that one quinoa variety (Kancolla) offers the highest benefits to the farmer and switching to this option should be immediate if investment costs are low; however, as costs increase, the decision to switch quinoa variety is optimally postponed until quinoa price uncertainty is reduced. We find that the Waru Waru option is not worth undertaking unless further evidence related to the increase in the productivity of quinoa is developed. However, at increases in productivity above 20%, the Waru Waru option becomes highly attractive. The article also discusses how quinoa price dynamics, yield sensitivity to frost, and governmental support impact decisions of the smallholder farmer."
SDG 2.00	"Chesney, Marc"	WWF	2018	"Long-term Investment Choices for Quinoa Farmers in Puno, Peru: A Real Options Case Study. SSRN 3175262, University of Zurich."	"Long-term Investment Choices for Quinoa Farmers in Puno, Peru: A Real Options Case Study. SSRN 3175262, University of Zurich."	"The goal of this article is to assess the optimal choices of a smallholder quinoa farmer in the Puno region of Peru, in terms of his decision if and when to undertake certain investments that are expected to increase quinoa yield and crop resistance to harsh weather conditions, such as frost. We focus on two irreversible options, namely quinoa variety management andWaruWaru. The former alternative considers the option of the farmer to switch from his business-as-usual quinoa variety to one that has different yield and frost resistance characteristics. The latter alternative refers to the implementation of an ancestral cultivation practice that is estimated to offer benefits in terms of yield increase and resistance to harsh climate conditions.
We rely on Real Options Analysis to assess the two types of investment opportunities for the farmer. This approach allows us to determine not only whether the investments should be undertaken or not, but also the optimal timing to do so. We find that one quinoa variety (Kancolla) offers the highest benefits to the farmer and switching to this option should be immediate if investment costs are low; however, as costs increase, the decision to switch quinoa variety is optimally postponed until quinoa price uncertainty is reduced. We find that the Waru Waru option is not worth undertaking unless further evidence related to the increase in the productivity of quinoa is developed. However, at increases in productivity above 20%, the Waru Waru option becomes highly attractive. The article also discusses how quinoa price dynamics, yield sensitivity to frost, and governmental support impact decisions of the smallholder farmer."
SDG 2.00	"Yanagizawa-Drott, David"	WWF	2017	"Lemon technologies and adoption: measurement, theory and evidence from agricultural markets in Uganda. Quarterly Journal of Economics, 132(3):1055-1100."	"Lemon technologies and adoption: measurement, theory and evidence from agricultural markets in Uganda. Quarterly Journal of Economics, 132(3):1055-1100."	"To reduce poverty and food insecurity in Africa requires raising productivity in agriculture. Systematic use of fertilizer and hybrid seed is a pathway to increased productivity, but adoption of these technologies remains low. We investigate whether the quality of agricultural inputs can help explain low take-up. Testing modern products purchased in local markets, we find that 30% of nutrient is missing in fertilizer, and hybrid maize seed is estimated to contain less than 50% authentic seeds. We document that such low quality results in low average returns. If authentic technologies replaced these low-quality products, however, average returns are high. To rationalize the findings, we calibrate a learning model using data from our agricultural trials. Because agricultural yields are noisy, farmers’ ability to learn about quality is limited and this can help explain the low quality equilibrium we observe, but also why the market has not fully collapsed."
SDG 3.00	"Müller, Anne"	MNF	2019	"Transmaternal Helicobacter pylori exposure reduces allergic airway inflammation in offspring through regulatory T cells. Journal of Allergy and Clinical Immunology, 143(4):1496-1512.e11."	"Transmaternal Helicobacter pylori exposure reduces allergic airway inflammation in offspring through regulatory T cells. Journal of Allergy and Clinical Immunology, 143(4):1496-1512.e11."	"BACKGROUND Transmaternal exposure to tobacco, microbes, nutrients, and other environmental factors shapes the fetal immune system through epigenetic processes. The gastric microbe Helicobacter pylori represents an ancestral constituent of the human microbiota that causes gastric disorders on the one hand and is inversely associated with allergies and chronic inflammatory conditions on the other. OBJECTIVE Here we investigate the consequences of transmaternal exposure to H pylori in utero and/or during lactation for susceptibility to viral and bacterial infection, predisposition to allergic airway inflammation, and development of immune cell populations in the lungs and lymphoid organs. METHODS We use experimental models of house dust mite- or ovalbumin-induced airway inflammation and influenza A virus or Citrobacter rodentium infection along with metagenomics analyses, multicolor flow cytometry, and bisulfite pyrosequencing, to study the effects of H pylori on allergy severity and immunologic and microbiome correlates thereof. RESULTS Perinatal exposure to H pylori extract or its immunomodulator vacuolating cytotoxin confers robust protective effects against allergic airway inflammation not only in first- but also second-generation offspring but does not increase susceptibility to viral or bacterial infection. Immune correlates of allergy protection include skewing of regulatory over effector T cells, expansion of regulatory T-cell subsets expressing CXCR3 or retinoic acid-related orphan receptor γt, and demethylation of the forkhead box P3 (FOXP3) locus. The composition and diversity of the gastrointestinal microbiota is measurably affected by perinatal H pylori exposure. CONCLUSION We conclude that exposure to H pylori has consequences not only for the carrier but also for subsequent generations that can be exploited for interventional purposes."
SDG 3.00	"Müller, Anne"	MNF	2016	"Inflammasome activation by helicobacter pylori and its implications for persistence and immunity. In: Backert, Steffen. Inflammasome Signaling and Bacterial Infections. Germany: Springer, 117-131."	"Inflammasome activation by helicobacter pylori and its implications for persistence and immunity. In: Backert, Steffen. Inflammasome Signaling and Bacterial Infections. Germany: Springer, 117-131."	
